
# Surface 0 of 1 surfaces

# Curve title: "'data.txt'"

# IsoCurve 0, 100 points
# x y z type
 99  0 -1.05879e-18 o
 99  1  2.11758e-18 o
 99  2  5.29396e-19 o
 99  3 -1.58819e-18 o
 99  4  0 o
 99  5 -1.05879e-18 o
 99  6  1.98523e-19 o
 99  7 -6.61744e-20 o
 99  8 -1.55096e-19 o
 99  9 -1.27955e-20 o
 99  10 -1.6405e-18 o
 99  11 -2.50401e-17 o
 99  12 -3.28063e-16 o
 99  13 -3.70373e-15 o
 99  14 -3.62976e-14 o
 99  15 -3.10258e-13 o
 99  16 -2.32257e-12 o
 99  17 -1.52814e-11 o
 99  18 -8.86351e-11 o
 99  19 -4.54275e-10 o
 99  20 -2.06081e-09 o
 99  21 -8.28254e-09 o
 99  22 -2.94917e-08 o
 99  23 -9.29261e-08 o
 99  24 -2.58389e-07 o
 99  25 -6.30748e-07 o
 99  26 -1.33938e-06 o
 99  27 -2.43324e-06 o
 99  28 -3.65747e-06 o
 99  29 -4.18661e-06 o
 99  30 -2.58539e-06 o
 99  31  2.61908e-06 o
 99  32  1.16099e-05 o
 99  33  2.18091e-05 o
 99  34  2.76926e-05 o
 99  35  2.30384e-05 o
 99  36  4.97155e-06 o
 99  37 -2.30954e-05 o
 99  38 -5.15104e-05 o
 99  39 -6.71705e-05 o
 99  40 -6.02845e-05 o
 99  41 -3.33814e-05 o
 99  42  1.24254e-06 o
 99  43  4.06592e-05 o
 99  44  8.48941e-05 o
 99  45  8.96751e-05 o
 99  46 -7.15247e-06 o
 99  47 -0.000140182 o
 99  48 -0.000116194 o
 99  49  9.36422e-05 o
 99  50  0.000225729 o
 99  51  9.36422e-05 o
 99  52 -0.000116194 o
 99  53 -0.000140182 o
 99  54 -7.15247e-06 o
 99  55  8.96751e-05 o
 99  56  8.48941e-05 o
 99  57  4.06592e-05 o
 99  58  1.24254e-06 o
 99  59 -3.33814e-05 o
 99  60 -6.02845e-05 o
 99  61 -6.71705e-05 o
 99  62 -5.15104e-05 o
 99  63 -2.30954e-05 o
 99  64  4.97155e-06 o
 99  65  2.30384e-05 o
 99  66  2.76926e-05 o
